"LOCATION_NAME","LONGITUDE","LATITUDE"
"007-Cavusbasi Itfaiye","29.139013","41.07442"
"001-AKOM","28.962646","41.086932"
"012-Topkapi Panaroma 1453","28.920425","41.018165"
"IETT Garaj-Sahinkaya-In","29.054429","41.082919"
"ISKI-Kucukcekmece","28.779952","41.002673"
"ÇEKMEKÖY MEHMET AKİF MAH.","29.189099","41.020673"
"031-Florya Sosyal Tesisleri Parki","28.807096","40.961164"
"018-Kucukcekmece Etkinlik Alani","28.793358","41.008056"
"KUŞTEPE SPOR TESİSİ","28.9914353587934","41.072117908066"
"007-Yenidogan Itfaiye","29.244518","41.015628"
"SANCAKTEPE ABDURRAHMAN GAZİ MAH.","29.230315","41.005504"
"SARAÇHANE BAŞKANLIK GİRİŞİ","28.889769","41.009978"
"IETT Peron-Pendik","29.143965","40.522746"
"001-Cemberlitas WALD Vakfi","28.972482","41.007712"
"012-Avrasya Gosteri Merkezi","28.943655","40.998944"
"038-Darulaceze Otobus Duragi","28.969469","41.063977"
"METRO T1-CAPA","28.933466","41.015149"
"KARTAL ATALAR SPOR EĞİTİM MERKEZİ","29.169064","40.898958"
"ÇATALCA","28.46317","41.146077"
"029-Marmaracik Yaz Kampi","29.090822","41.243239"
"ISADEM-Sultangazi","28.865871","41.108496"
"METRO T1-AKSARAY","28.953944","41.009543"
"025-Cirpici Spor Tesisi","28.891048","40.999572"
"007-Kocasinan Itfaiye","28.837072","41.013993"
"001-IBB Fatih Hayvan Hastanesi","28.953686","41.016743"
"018-Eyup Meydan","28.933511","41.047359"
"001-Cemberlitas UCLG-MEWA","28.978218","41.008365"
"ESENLER TURGUTREİS","28.864767","41.059615"
"061-Catalca Yol Bakim","28.453384","41.22773"
"KADIKÖY HASANPAŞA","29.03915","40.99431"
"PENDİK BAHÇELİEVLER","29.229644","40.888467"
"032-Sariyer Park ve Bahceler","29.030854","41.138958"
"EYÜPSULTAN YEŞİLPINAR","28.917145","41.071134"
"IETT Garaj-Ayazaga-In","28.5951","41.06468"
"031-Kartal Sahil Parki","29.187151","40.888024"
"PDM-Bayrampasa","28.909631","41.040002"
"ISKI-Ikitelli Aritma","28.764997","41.088544"
"ESENYURT","28.67866","41.038457"
"METRO T1-MITHATPASA","28.902215","41.003535"
"007-Bagcilar Itfaiye","28.858637","41.050171"
"ŞİLE SPOR KOMPLEKSİ","29.5880757746014","41.1550744281641"
"IETT Peron-Ambarli","28.431341","40.584036"
"007-Sultangazi Itfaiye","28.883964","41.103778"
"IETT Garaj-Ikitelli-Uyg","28.472943","41.033105"
"038-Beylikduzu Otobus Duragi","28.657735","41.008841"
"IETT Karakoy-Bilgiislem","28.582684","41.012259"
"SULTANBEYLİ UZUNDERE","29.29665","40.95643"
"067-Haseki Devlet Hastanesi","28.945011","41.009663"
"018-Aksaray Meydan","28.949292","41.011242"
"001-Sehzadebasi Tip Merkezi","28.956482","41.016269"
"024-Sultanbeyli Golet Sosyal Tesisleri","29.276736","40.954095"
"METRO-M4 Esenkent","29.166232","40.920663"
"013-Gaziosmanpasa Sehir Sahnesi","28.915911","41.057453"
"001-IBB Sarachane Hizmet Binasi","28.955328","41.013451"
"024-Buyukcekmece Sosyal Tesisleri","28.582878","41.018086"
"017-Atakoy Eski Cinar Sokak","28.85035","40.98367"
"IHE-Genel Mudurluk","28.880016","41.107693"
"061-Arnavutkoy Yol Bakim","28.760621","41.171197"
"SULTANBEYLİ HASANPAŞA","29.25013","40.9709"
"G.O.PAŞA KÜÇÜKKÖY","28.901156","41.07244"
"KAĞITHANE SEYRANTEPE","28.9956","41.09764"
"001-IBB Sutluce Tanitim Merkezi","28.949065","41.05777"
"024-Umraniye Tantavi Sosyal Tesisleri","29.05","41.013725"
"İBB Şehzadebaşı Tıp Merkezi","28.9564636596469","41.0162836518145"
"014-Nail Nimet Bayraktar Kutuphanesi","29.105516","41.017006"
"001-Cirpici Destek Hizmetleri","28.888033","41.000837"
"066-Deneyap Pendik Dolayoba","29.242936","40.887735"
"018-Eminonu Meydan","28.970257","41.017572"
"007-Zeynep Kamil Itfaiye","29.024381","41.013839"
"FATİH MUHASEBE VE FİNANSMAN OKULU","28.94238","41.01711"
"SİLİVRİKAPI BUZ PİSTİ VE SPOR TESİSİ","28.9217407897051","41.003437197949"
"SULTANBEYLİ ABDURRAHMAN GAZİ MAH.","29.261742","40.968558"
"031-Bagcilar Trafik Egitim Parki","28.822116","41.050023"
